,num_tokens,num_sentences
0,11,1
1,10,1
2,7,1
3,10,1
4,13,1
5,0,0
6,9,1
7,10,1
8,0,0
9,12,1
10,20,1
11,7,1
12,7,1
13,10,1
14,11,1
15,9,1
16,6,1
17,10,1
18,13,1
19,10,1
20,11,1
21,10,1
22,5,1
23,13,2
24,11,1
25,0,0
26,7,1
27,9,1
28,0,0
29,13,2
30,44,2
31,20,1
32,25,1
33,10,1
34,43,2
35,22,3
36,33,2
37,36,3
38,0,0
39,31,2
40,15,1
41,9,1
42,18,1
43,13,1
44,15,1
45,0,0
46,11,1
47,13,1
48,0,0
49,13,1
50,50,3
51,18,1
52,33,2
53,20,2
54,41,2
55,19,1
56,31,2
57,35,4
58,0,0
59,29,2
60,17,1
61,9,1
62,18,1
63,13,1
64,15,1
65,0,0
66,11,1
67,13,1
68,0,0
69,16,1
70,37,3
71,12,1
72,17,1
73,17,1
74,23,2
75,10,1
76,18,1
77,17,2
78,0,0
79,15,1
80,71,2
81,18,1
82,26,1
83,7,1
84,26,2
85,12,1
86,23,1
87,27,2
88,0,0
89,26,4
90,13,1
91,13,1
92,13,1
93,13,1
94,18,1
95,13,1
96,17,1
97,15,1
98,18,1
99,16,1
100,20,1
101,10,1
102,17,1
103,30,3
104,34,3
105,0,0
106,15,1
107,32,2
108,0,0
109,27,3
110,80,5
111,14,1
112,26,1
113,55,6
114,37,3
115,0,0
116,29,1
117,54,4
118,0,0
119,49,6
120,54,2
121,11,1
122,26,1
123,37,4
124,34,2
125,8,1
126,17,1
127,41,3
128,0,0
129,39,3
130,47,3
131,14,1
132,28,2
133,42,5
134,27,2
135,0,0
136,19,1
137,44,3
138,0,0
139,38,4
140,60,4
141,10,1
142,18,1
143,30,3
144,23,2
145,0,0
146,15,1
147,26,1
148,0,0
149,26,3
150,19,1
151,9,1
152,13,1
153,19,2
154,21,2
155,0,0
156,8,1
157,24,1
158,0,0
159,21,2
160,18,1
161,17,1
162,17,1
163,16,1
164,15,1
165,15,1
166,13,1
167,16,1
168,0,0
169,17,1
170,24,1
171,26,1
172,20,1
173,19,1
174,19,1
175,25,2
176,12,1
177,23,1
178,0,0
179,21,1
180,20,1
181,19,1
182,20,1
183,18,1
184,20,1
185,16,1
186,16,1
187,18,1
188,22,1
189,17,1
190,18,1
191,11,1
192,14,1
193,16,2
194,17,1
195,20,2
196,19,1
197,19,1
198,0,0
199,17,1
200,13,1
201,11,1
202,11,1
203,8,1
204,12,1
205,11,1
206,9,1
207,12,1
208,13,1
209,13,1
210,21,1
211,18,1
212,25,1
213,19,1
214,21,1
215,29,3
216,22,1
217,21,2
218,0,0
219,19,1
220,15,1
221,16,1
222,14,1
223,15,1
224,21,1
225,11,1
226,14,2
227,20,2
228,20,1
229,18,3
230,16,1
231,18,1
232,15,1
233,16,1
234,15,1
235,14,2
236,13,1
237,15,1
238,0,0
239,15,1
240,25,1
241,18,1
242,19,1
243,18,1
244,21,2
245,19,1
246,17,1
247,27,2
248,0,0
249,29,3
250,35,3
251,39,1
252,34,2
253,36,2
254,35,1
255,29,3
256,37,4
257,34,4
258,0,0
259,32,2
260,11,1
261,10,1
262,9,1
263,12,1
264,12,1
265,8,1
266,5,1
267,9,1
268,14,1
269,14,1
270,37,2
271,42,2
272,34,1
273,33,2
274,31,2
275,41,4
276,40,4
277,41,3
278,0,0
279,49,3
280,16,1
281,14,1
282,14,1
283,14,1
284,21,2
285,13,1
286,12,1
287,18,1
288,0,0
289,16,1
290,54,3
291,35,2
